cls,theme,agent_utterance,agent_utterance_refine
io,スポーツ, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。
io,スポーツ, まだまだ寒いので、体を動かして温まりたいですよね。, まだまだ寒いので、体を動かして温まりたいですよね。
io,旅行, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。
io,食事, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。
qs,default, そのほかで、おすすめのものはありますか？あったら教えてください．, そのほかで、おすすめのものはありますか？あったら教えてください？
qs,default, そのほかにおすすめのものはありますか？, そのほかにおすすめのものはありますか？
qs,default, それのどういったところが好きなんですか？, それのどういったところが好きなんですか？
qs,default, どういったところが好きなんですか？, どういったところが好きなんですか？
qs,default, ほかには、ありますか？, ほかには、ありますか？
qs,default, もう少し詳しく教えていただいていいですか。, もう少し詳しく教えていただいていいですか？
qs,default, 具体的にはどういったものですか？, 具体的にはどういったものですか？
qs,default, 具体的には何ですか？, 具体的には何ですか？
qs,default, 具体的には教えてもらえますか？, 具体的には教えてもらえますか？
qs,default, 具体的に教えてください？, 具体的に教えてください？
qs,default, 具体的に教えてもらっていいですか？, 具体的に教えてもらっていいですか？
qs,スポーツ, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
qs,スポーツ, 健康のために、気をつけていることはありますか？, 健康のために、気をつけていることはありますか？
qs,スポーツ, そのスポーツのおすすめポイントを教えてください＾＾, そのスポーツのおすすめポイントを教えてください？
qs,スポーツ, そうですか。そのスポーツはテレビで鑑賞はされますか・・, そのスポーツはテレビで鑑賞はされますか？
qs,スポーツ, どんなスポーツをされますか？, どんなスポーツをされますか？
qs,スポーツ, なにかおすすめのスポーツ観戦はありますか？, なにかおすすめのスポーツ観戦はありますか？
qs,スポーツ, オリンピックは今までに見たことはありますか？, オリンピックは今までに見たことはありますか？
qs,スポーツ, スポーツはするほうが好きですか？それとも見るほうが好きですか？, スポーツはするほうが好きですか？それとも見るほうが好きですか？
qs,スポーツ, スポーツはよくするんですか？, スポーツはよくするんですか？
qs,スポーツ, スポーツをする目的は何ですか？, スポーツをする目的は何ですか？
qs,スポーツ, そうですか。テレビでの観戦はなされるんですか？, テレビでの観戦はなされるんですか？
qs,スポーツ, 健康のため、とか、リフレッシュするため、とかですか？, 健康のためとかリフレッシュするためとかですか？
qs,スポーツ, 好きなスポーツはなんですか？, 好きなスポーツはなんですか？
qs,スポーツ, パリで開催されるオリンピックを、見にいく予定はありますか？, パリで開催されるオリンピックを、見にいく予定はありますか？
qs,スポーツ, 最近スポーツはしましたか？, 最近スポーツはしましたか？
qs,スポーツ, 競技はなにをご覧になりますか？, 競技は何をご覧になりますか？
qs,旅行, その旅先で何かハプニングはありましたか!, その旅先で何かハプニングはありましたか？
qs,旅行, その旅先で何が一番楽しかったですか？, その旅先で何が一番楽しかったですか？
qs,旅行, その旅先で美味しい食べ物はたべましたか・・, その旅先で美味しい食べ物はたべましたか？
qs,旅行, ほかには何か面白いことはありましたか？, ほかには何か面白いことはありましたか？
qs,旅行, 今までいった「旅行」で特におすすめの場所はありますか？, 今までいった旅行で特におすすめの場所はありますか？
qs,旅行, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？
qs,旅行, 旅行にはよく行かれますか？, 旅行にはよく行かれますか？
qs,旅行, 旅行に行くときはなにか目的はありますか？, 旅行に行くときは何か目的はありますか？
qs,旅行, 旅行はどこに行ったことがありますか？, 旅行はどこに行ったことがありますか？
qs,旅行, さいきん旅行には行きましたか？, 最近、旅行には行きましたか？
qs,旅行, 「温泉」などリフレッシュするためにいきますか？, 温泉などリフレッシュするためにいきますか？
qs,音楽, おすすめの曲はありますか？, おすすめの曲はありますか？
qs,音楽, おすすめの歌手やきょくってありますか？, おすすめの歌手や曲ってありますか？
qs,音楽, その作曲者のどういうところが好きなんですか？, その作曲者のどういうところが好きなんですか？
qs,音楽, そのきょくのどういうところが好きなんですか？, その曲のどういうところが好きなんですか？
qs,音楽, その歌手のどういうところが好きなんですか？, その歌手のどういうところが好きなんですか？
qs,音楽, カラオケでよくなにをうたうのですか？, カラオケでよく何を歌うのですか？
qs,音楽, カラオケで歌ったりするのですか？, カラオケで歌ったりするのですか？
qs,音楽, カラオケに行くときはお友達と行きますか？, カラオケに行くときはお友達と行きますか？
qs,音楽, カラオケは好きですか？, カラオケは好きですか？
qs,音楽, コンサートとかには行きますか？, コンサートとかには行きますか？
qs,音楽, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？
qs,音楽, 最近音楽は聞きましたか？, 最近音楽は聞きましたか？
qs,音楽, がっきは何を演奏するのですか。, 楽器は何を演奏するのですか？
qs,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
qs,食事, お友達とランチに行ったりしますか？, お友達とランチに行ったりしますか？
qs,食事, その中でもおすすめのスイーツはありますか？, その中でもおすすめのスイーツはありますか？
qs,食事, それは「最近」食べられたんですか？, それは最近食べられたんですか？
qs,食事, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？
qs,食事, どこで食べられたんですか・・, どこで食べられたんですか？
qs,食事, どんなところに行きますか？和食ですか洋食ですか？, どんなところに行きますか？和食ですか洋食ですか？
qs,食事, 具体的にどういう味か教えてください。, 具体的にどういう味か教えてください？
qs,食事, 普段はどこでスイーツを買いますか？, 普段はどこでスイーツを買いますか？
qs,食事, 最近はまっている食べ物はありますか・・, 最近はまっている食べ物はありますか？
qs,食事, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
qs,食事, 甘いものと、からいものどちらがお好きですか？, 甘いものと辛いもののどちらがお好きですか？
qs,食事, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
re,default, いいですね，とても興味深いです！, いいですね、とても興味深いです！
re,default, すごいですね。, すごいですね。
re,default, すごいですね。, すごいですね。
re,default, すごいですね！, すごいですね！
re,default, すごいですね！, すごいですね！
re,default, すごい！, すごい！
re,default, すごい！, すごい！
re,default, そうですか、なかなかですね。, そうですか、なかなかですね。
re,default, そうですか、残念です・・, そうですか、残念です。
re,default, そうですね・・ぜひ参考にさせていただきます。, そうですね、ぜひ参考にさせていただきます。
re,default, そうですね、わかります。, そうですね、わかります。
re,default, そうですね。, そうですね。
re,default, そうなんですか．, そうなんですか。
re,default, そうなんですか．それでは一度独自で調べてみたいと思います．, そうなんですか。それでは一度独自で調べてみたいと思います。
re,default, そうなんですか．私も独自に調べてみますね．, そうなんですか。私も独自に調べてみますね。
re,default, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！
re,default, そうなんですね。, そうなんですね。
re,default, それは大変ですよね。, それは大変ですよね。
re,default, それは面白そうですね。, それは面白そうですね。
re,default, それは面白そうですね。, それは面白そうですね。
re,default, なるほど、そうなんですね。, なるほど、そうなんですね。
re,default, なるほど、そうなんですね・・, なるほど、そうなんですね。
re,default, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re,default, なるほど、それは面白そうですね。, なるほど、それは面白そうですね。
re,default, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re,default, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
re,default, なるほど、よくご存じですね・・, なるほど、よくご存じですね。
re,default, なるほど、勉強になります・・, なるほど、勉強になります。
re,default, なるほど、面白そうですね！, なるほど、面白そうですね！
re,default, なるほど、面白そうですね！, なるほど、面白そうですね！
re,default, なるほど。, なるほど。
re,default, よくご存じですね。, よくご存じですね。
re,default, 大変ですよね。, 大変ですよね。
re,default, 本当ですか！, 本当ですか！
re,default, 本当ですか！, 本当ですか！
re,default, たのしそうですね。, 楽しそうですね。
re,default, たのしそうですね。, 楽しそうですね。
re,default, 楽しそうですね！, 楽しそうですね！
re,default, 楽しそうですね！, 楽しそうですね！
re,default, 面白いですよね。, 面白いですよね。
re,default, 面白いですよね。, 面白いですよね。
re,スポーツ, いいですね。テレビ観戦も楽しそうですね！, いいですね。テレビ観戦も楽しそうですね！
re,スポーツ, なるほど、健康的で、ステキですね・・, なるほど、健康的で素敵ですね。
re,スポーツ, なるほど、面白そうですね，機会があればわたしも見てみたいです！, なるほど、面白そうですね。機会があれば私も見てみたいです！
re,旅行, すごい！面白い体験をされましたね!, すごい！面白い体験をされましたね!
re,旅行, なるほど、それはリラックスできますね。, なるほど、それはリラックスできますね。
re,旅行, なるほど、それは素晴らしい経験ですね。, なるほど、それは素晴らしい経験ですね。
re,音楽, すごいですね。一度聞かせていただけるとうれしいです。, すごいですね。一度聞かせていただけるとうれしいです。
re,音楽, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！
re,音楽, とても楽しそうですね。, とても楽しそうですね。
re,音楽, なまで演奏をきくと、迫力があって、感動するみたいですね！, なまで演奏をきくと、迫力があって、感動するみたいですね！
re,音楽, わたしも実際に、演奏をきいてみたいものです。, わたしも実際に、演奏をきいてみたいものです。
re,食事, そうですか、とても美味しそうですね・・, そうですか、とても美味しそうですね。
re,食事, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・, とても美味しそうですね。今度知りあいにもすすめてみようと思います。
re,食事, なるほど、それは美味しそうですね・・, なるほど、それは美味しそうですね。
thank,default, ありがとうございました・・, ありがとうございました。
thank,default, ありがとうございます。, ありがとうございます。
thank,default, ありがとうございます。参考にさせていただきます。, ありがとうございます。参考にさせていただきます。
thank,default, そうなんですね．新しい知識が増えました！ありがとうございます！, そうなんですね、新しい知識が増えました！ありがとうございます！
thank,旅行, 貴重な体験談をありがとうございました。, 貴重な体験談をありがとうございました。
